Usuario,Año,NumPreguntas,TotalRespuestas,TotalComentarios,MediaRespuestas,MaxRespuestas
Oswaldo de Jesús Muñiz Ramos,2020,2,1,3,0.5,1
Hidra Sick girl,2020,2,0,4,0.0,0
DannyTalent,2020,5,6,5,1.2,2
Agus Veneziano,2020,1,0,2,0.0,0
Joche,2020,1,0,3,0.0,0
Gato Salamanca,2020,1,0,4,0.0,0
Verlyn Luna,2021,3,2,3,0.67,1
Victor Salazar,2021,1,1,4,1.0,1
mymelody,2021,2,2,3,1.0,1
Víctor Ch,2021,1,1,2,1.0,1
KitsuneCode,2021,1,1,6,1.0,1
Uri Samuel Durán Valencia,2021,3,5,13,1.67,2
zac,2021,1,1,0,1.0,1
Empower,2021,4,7,4,1.75,2
Johan Rodriguez,2021,1,1,4,1.0,1
Breaker,2021,1,1,0,1.0,1
Samuel VG,2021,1,1,0,1.0,1
Daniel Dulanto,2021,1,0,0,0.0,0
Danii Er6n,2022,1,0,8,0.0,0
abrahamhs,2022,2,2,1,1.0,1
Diego Martínez,2022,1,2,2,2.0,2
efueyo,2022,25,26,38,1.04,2
Avhelsing,2022,3,4,5,1.33,2
ozamora,2022,4,3,5,0.75,1
Hernan Castro,2022,1,0,5,0.0,0
Juan Pulgarín,2022,1,0,2,0.0,0
Pepe Meza,2022,1,1,0,1.0,1
Tadeo Sebastian Bruno,2022,2,0,4,0.0,0
Lucas Garcia,2022,1,1,0,1.0,1
Eder Castro Fernández,2022,1,0,2,0.0,0
darth momin,2022,1,1,1,1.0,1
Ralber  Rosario,2022,1,1,4,1.0,1
Marlon  Perez,2022,1,1,1,1.0,1
santiago dominguez,2023,4,1,14,0.25,1
joseph fernandez,2023,1,0,2,0.0,0
Elliot Garamendi,2023,1,1,0,1.0,1
blacks 5574,2023,4,1,0,0.25,1
Manuel Gómez Ruiz,2023,1,0,4,0.0,0
Forjan,2023,1,1,2,1.0,1
Gabriel R.,2023,1,0,2,0.0,0
Catacroker,2023,1,0,1,0.0,0
orcaval,2023,1,0,7,0.0,0
Dicante,2023,1,0,1,0.0,0
Henrry J Sairitupac,2015,1,2,7,2.0,2
Álvaro,2016,1,1,0,1.0,1
ztvmark,2016,2,5,0,2.5,3
Javi2EE,2016,3,4,9,1.33,2
Pabpereza,2016,7,13,8,1.86,4
Kenneth Martínez,2016,1,3,0,3.0,3
Omar Cerón,2016,1,2,9,2.0,2
Nathananael Rodriguez,2016,1,1,3,1.0,1
Iván García,2016,7,13,21,1.86,4
Johnny Pachecp,2016,8,17,10,2.13,5
user3240604,2016,1,1,1,1.0,1
DanBreakingNews,2016,1,1,3,1.0,1
Jos Antonio Ruiz Santiago Fuse,2016,1,2,1,2.0,2
Daniel Luna,2016,1,1,0,1.0,1
ALONDRA PEREZ,2016,1,1,5,1.0,1
OMART,2016,1,2,4,2.0,2
Geany,2016,4,4,10,1.0,1
Gonzalo Gomez Sotelo,2016,1,2,1,2.0,2
Axel Pantoja,2016,1,1,0,1.0,1
dtorralba,2017,3,3,8,1.0,2
Jose Fabio 웃,2017,4,7,14,1.75,2
Alexander Gil Tafur,2017,9,9,16,1.0,3
Zander,2017,10,9,32,0.9,2
David Leandro Heinze Müller,2017,2,3,1,1.5,3
Takyo,2017,10,21,18,2.1,4
programmercito,2017,3,3,11,1.0,2
geaClash,2017,1,1,2,1.0,1
Ryuzaki Lpz,2017,6,7,21,1.17,2
Jorge Serrano,2017,3,2,24,0.67,2
David Ramirez,2017,2,2,3,1.0,1
Sebastian Mateus Villegas,2017,10,18,21,1.8,4
Josep Salvat,2017,3,4,5,1.33,2
Miguel Angel Materano,2017,2,1,6,0.5,1
Rodrigo Rose,2017,1,1,11,1.0,1
deluf,2017,21,34,36,1.62,4
Maxi Hernandez,2017,8,8,21,1.0,2
Ricardo Rodriguez,2017,1,3,1,3.0,3
fcapra,2017,2,2,7,1.0,1
Dacoso,2017,1,1,2,1.0,1
Fernando O,2017,2,2,0,1.0,2
Ricardo Pastuszek,2017,8,10,13,1.25,2
RaptoR,2017,2,5,4,2.5,4
Sergio Yael Alvarado,2017,1,1,4,1.0,1
G4ia,2017,1,1,11,1.0,1
Miguel J,2017,1,1,0,1.0,1
Darwin Quiroz,2017,2,1,2,0.5,1
Xopye,2017,1,0,4,0.0,0
Juaqui,2017,1,2,2,2.0,2
matiasMonja,2017,1,1,0,1.0,1
alex,2017,3,3,8,1.0,1
Rodrigo Valdivia,2017,1,3,0,3.0,3
Francisco Tamayo,2017,1,2,0,2.0,2
Faust,2017,1,1,4,1.0,1
david huayhua,2017,1,1,1,1.0,1
Juan Jose Giraldo,2017,1,2,3,2.0,2
Marco Antonio Garcia Leon,2017,2,2,8,1.0,1
Cesar Becerra,2017,1,0,5,0.0,0
Said Ravest,2017,1,1,2,1.0,1
Jaime Lopez,2017,2,2,1,1.0,1
Gilbert Flores,2017,1,2,2,2.0,2
Romero Aracena,2017,1,2,6,2.0,2
lalo,2017,1,2,1,2.0,2
Anderson Jamanca,2017,3,3,1,1.0,1
Yesith,2017,3,5,4,1.67,3
Mary_Carmen,2017,1,0,3,0.0,0
Porfirio Dellasera,2017,1,1,2,1.0,1
imgoodik,2017,1,1,0,1.0,1
Oscar Abuawad,2018,1,1,0,1.0,1
David Calderon,2018,2,1,14,0.5,1
Langel,2018,1,0,2,0.0,0
Fernando Ferretiz,2018,4,4,0,1.0,1
alm,2018,1,1,2,1.0,1
Green_Sam,2018,1,1,0,1.0,1
Cristhian Rivera,2018,1,1,0,1.0,1
NicoGuevaraAtuq,2018,2,2,6,1.0,2
Ab Hdez,2018,2,1,9,0.5,1
Leonel,2018,35,37,102,1.06,4
okaiso,2018,3,5,10,1.67,2
dasio,2018,1,1,0,1.0,1
Estefania,2018,5,7,12,1.4,3
Silvia,2018,24,36,53,1.5,3
peruvice,2018,2,2,17,1.0,2
FQuijada,2018,8,8,20,1.0,3
Meli,2018,2,2,2,1.0,2
Edwink,2018,2,3,10,1.5,2
Raúl Alvarez,2018,5,7,16,1.4,2
Martin Matias,2018,2,2,7,1.0,1
David Sánchez,2018,4,4,7,1.0,2
prografail,2018,1,1,5,1.0,1
JLPrieto,2018,1,2,3,2.0,2
Alvaro Garcia Solano,2018,1,2,0,2.0,2
Gloria,2018,3,6,5,2.0,3
Fabián Moreno,2018,8,11,26,1.38,3
Oskar Ivan Scr,2018,4,6,8,1.5,2
Miriam Panero,2018,2,3,2,1.5,2
samuel perez,2018,1,1,4,1.0,1
user3802101,2018,2,3,1,1.5,2
neo_free,2018,1,0,3,0.0,0
WilliamCuervo,2018,1,0,5,0.0,0
Arnol Pineda,2018,4,4,10,1.0,2
Manuel Hernandez Gordo,2018,1,1,5,1.0,1
Borisgr04,2018,1,0,3,0.0,0
Cristian Galeano,2018,1,1,6,1.0,1
Expo,2018,1,1,2,1.0,1
user2430140,2018,1,0,4,0.0,0
user91691,2018,1,2,0,2.0,2
AccessOPS,2018,3,4,4,1.33,2
Iván Angeles,2018,1,0,5,0.0,0
Mariano Serravalle,2018,1,0,2,0.0,0
Gerardo Torres,2018,3,2,3,0.67,1
Ballen,2018,3,4,5,1.33,2
Leroy,2018,1,2,0,2.0,2
Hernan Bernal,2018,3,3,13,1.0,2
Ststecnico,2018,1,1,4,1.0,1
Venamus,2018,1,0,2,0.0,0
Abdiel,2018,10,10,7,1.0,2
Carlos Blanco,2018,1,2,0,2.0,2
Augusto Vidal Sarmento,2018,1,0,3,0.0,0
Alberto Bedmar Montaño,2019,12,12,30,1.0,2
Pavlo B.,2019,7,6,11,0.86,1
jms2505,2019,2,1,10,0.5,1
Neftali Acosta,2019,5,5,24,1.0,2
Sir_Peter,2019,7,9,6,1.29,3
César Barrios,2019,1,1,6,1.0,1
Fulco Pincay Ponce,2019,1,3,6,3.0,3
Solmit Solmi,2019,1,2,2,2.0,2
José Manuel Sanz,2019,2,4,4,2.0,2
Ramirez Miguel,2019,3,2,11,0.67,1
Alexis Gonzalez,2019,5,5,12,1.0,1
Brandon Vega,2019,1,2,0,2.0,2
Ezeiur,2019,1,2,1,2.0,2
Ariel Alejandro Ferreyra,2019,1,0,3,0.0,0
Ignacio,2019,6,8,7,1.33,2
jdss11,2019,9,7,7,0.78,1
Renzo,2019,6,5,21,0.83,2
Dilan Mendoza,2019,1,1,3,1.0,1
Paul Padilla,2019,3,2,13,0.67,1
M. Gar,2019,8,8,8,1.0,2
t.t,2019,2,2,2,1.0,2
danRivC,2019,4,2,9,0.5,1
Gohanckz,2019,5,8,12,1.6,3
Juan Enrich,2019,1,0,3,0.0,0
Anselmo,2019,5,6,1,1.2,2
MerkaChina MC,2019,3,5,10,1.67,3
Javier Hernandez,2019,1,1,4,1.0,1
Lucas Cardemil Villegas,2019,1,0,2,0.0,0
Yoh Apolinario Mantilla,2019,3,4,21,1.33,3
Grman Marin,2019,1,1,0,1.0,1
Carlos Mada,2019,2,1,2,0.5,1
2R.Ev,2019,1,1,2,1.0,1
araad1992,2019,2,0,10,0.0,0
Daniel Infante,2019,1,2,0,2.0,2
Annel Frank,2019,1,2,7,2.0,2
Nicolas Estevez,2019,8,8,10,1.0,1
Pablo74,2019,1,1,0,1.0,1
ing.Castillo.Vazquez,2019,1,0,0,0.0,0
Mitnick,2019,1,2,0,2.0,2
Juan Castro,2019,16,19,54,1.19,3
DiegoOrbezo,2019,3,3,6,1.0,2
krash39,2019,1,1,1,1.0,1
Mauricio Javier Biott,2019,1,1,6,1.0,1
Maximo Laventure,2019,1,1,3,1.0,1
Zaha,2019,1,0,1,0.0,0
Oscar,2019,1,2,0,2.0,2
ucanreadthis,2019,1,0,4,0.0,0
Omar Sanchez Hernandez,2019,1,0,3,0.0,0
El pibe bazooka,2019,1,1,0,1.0,1
Ancre,2019,1,1,0,1.0,1
Sandra Mª mtnz,2019,1,1,4,1.0,1
Ndree QM,2019,1,2,0,2.0,2
spmx,2019,1,1,1,1.0,1
Alejandro,2020,51,51,93,1.0,3
Fernando Delgado Fernandez,2020,22,19,55,0.86,2
Ragonq,2020,1,1,3,1.0,1
Lennin Jesús,2020,5,5,10,1.0,1
jcrual,2020,1,1,0,1.0,1
Eduardo Matias Poblete Rivera,2020,1,0,2,0.0,0
Jeison Sandi,2020,1,1,0,1.0,1
Alvaro Sanchez,2020,1,3,0,3.0,3
Felipe Cazarez,2020,1,2,2,2.0,2
Angel Cantalejo,2020,1,1,1,1.0,1
Brandon Duque,2020,1,0,2,0.0,0
Xavi Gómez Canals,2020,2,3,5,1.5,2
Paul GR,2020,3,3,9,1.0,1
Raúl Soria Ortiz,2020,1,1,0,1.0,1
Carlos Alberto Alcocer Juárez,2020,8,8,13,1.0,2
Daniel Rueda,2020,1,1,3,1.0,1
Letron,2020,2,4,3,2.0,2
pmike,2020,7,4,19,0.57,1
ASJ,2020,3,5,3,1.67,3
alrescate43520,2020,1,0,0,0.0,0
JUAN RAMIREZ,2020,7,6,18,0.86,2
Walo,2020,1,1,1,1.0,1
Ivann97,2020,1,2,0,2.0,2
dogwall,2020,4,4,5,1.0,1
Victor A.,2020,1,1,9,1.0,1
Moha MBS,2020,5,4,9,0.8,1
Guaguazo,2020,1,1,1,1.0,1
Elias Isa,2020,1,1,2,1.0,1
Pabli770,2020,2,1,4,0.5,1
Jeko Eustaquio,2020,1,1,0,1.0,1
VonViVant,2020,1,1,1,1.0,1
ELE,2020,6,8,19,1.33,2
Boolean,2020,11,12,17,1.09,2
Leonardo Rodríguez,2020,2,1,2,0.5,1
Cristian Polidoro,2020,1,1,1,1.0,1
SVai,2020,2,3,2,1.5,2
Giuseppe Pipo Epifani,2020,1,0,3,0.0,0
samuel sauceda,2020,1,1,2,1.0,1
Jorge Borges,2020,2,2,7,1.0,1
novita,2020,1,1,0,1.0,1
Harold Rueda,2020,1,2,0,2.0,2
Yader Yepez,2020,1,2,0,2.0,2
paco,2020,1,0,3,0.0,0
Pruebas Pruebas,2020,2,2,0,1.0,1
Einer,2020,1,1,4,1.0,1
David Ernesto Hernández Tamayo,2020,1,2,1,2.0,2
Johan Diaz,2020,1,0,2,0.0,0
Drakarys,2020,5,5,5,1.0,1
evalde,2020,1,1,3,1.0,1
Noe Torres,2020,2,2,0,1.0,1
Luis Ernesto Pelaez Ferro,2020,1,1,0,1.0,1
DanielKmiloQ,2020,2,3,4,1.5,2
Andre,2021,33,29,65,0.88,2
Ing De Páez,2021,12,8,44,0.67,2
lujan,2021,2,1,7,0.5,1
Anonimo,2021,7,10,28,1.43,3
tecnobyte,2021,2,2,0,1.0,1
toxebo8422,2021,1,0,3,0.0,0
Javi,2021,18,21,45,1.17,3
Mauro Sebastián,2021,1,0,4,0.0,0
Joaquín Cerutti,2021,2,1,2,0.5,1
programmer gi,2021,2,3,8,1.5,2
everto farias,2021,2,3,0,1.5,2
Quique Castro,2021,1,1,1,1.0,1
rainmeter,2021,3,4,2,1.33,2
Dylan Erdini,2021,1,1,2,1.0,1
BlackName,2021,7,9,9,1.29,3
Marcus,2021,2,3,2,1.5,2
Rafa,2021,5,5,18,1.0,1
Sebastian Guerra,2021,1,1,0,1.0,1
Rodrigo Barrera,2021,1,0,6,0.0,0
Guillermo Baban,2021,2,1,10,0.5,1
Ivan Horstmeier,2021,1,1,0,1.0,1
María De Los Angeles Sarazúa,2021,1,1,0,1.0,1
jesus cabrera,2021,1,1,1,1.0,1
David Gamarra,2021,1,1,0,1.0,1
Alberto Lr,2021,1,1,11,1.0,1
mnl,2021,2,5,12,2.5,3
Ori,2021,1,2,1,2.0,2
Luisr,2021,1,0,0,0.0,0
Lucio Tamanini,2021,1,2,8,2.0,2
elias rivarola,2021,1,1,1,1.0,1
Diego Coto,2021,1,1,0,1.0,1
Juanse 97,2021,1,1,6,1.0,1
pedro gonzalez chavez Flarius,2021,1,1,0,1.0,1
Apreniendo,2021,2,3,7,1.5,2
t.o,2021,1,1,5,1.0,1
Jhon Solano,2021,1,1,1,1.0,1
Guillermo Z,2021,1,0,1,0.0,0
Guido,2021,1,2,4,2.0,2
Francisco Mastri,2021,1,1,1,1.0,1
Sch,2021,1,1,0,1.0,1
FLDSMDFR,2021,1,0,1,0.0,0
Crazy Dick,2022,1,0,2,0.0,0
Luka,2022,1,1,2,1.0,1
Fernando,2022,24,15,55,0.63,4
Francisco Palma Agila,2022,1,2,1,2.0,2
Tidus,2022,2,1,5,0.5,1
Nicolas Acebal,2022,1,1,3,1.0,1
Ivan Perez,2022,1,2,1,2.0,2
Jade,2022,3,3,0,1.0,1
Matias Guerrero,2022,2,2,1,1.0,1
user15911079,2022,1,1,1,1.0,1
Valeria Martinez,2022,1,0,2,0.0,0
erickuu,2022,1,0,5,0.0,0
Cristian Muñoz,2022,8,8,36,1.0,2
siwove,2022,1,0,3,0.0,0
Richyms,2022,3,2,5,0.67,1
300cc,2022,1,1,1,1.0,1
Guillermo Rodriguez,2022,1,1,0,1.0,1
Jose David Lara,2022,1,1,4,1.0,1
Steven Burgos,2022,1,0,1,0.0,0
Sergio Rodriguez,2022,4,2,2,0.5,2
Maria Alejandra Ovalle,2022,1,1,2,1.0,1
Andres F,2022,1,1,1,1.0,1
Matheo Cáneva,2022,1,0,0,0.0,0
JrFullStack,2022,11,6,39,0.55,2
Caro,2022,2,2,2,1.0,1
Squall32,2022,2,3,0,1.5,2
DanUtrech,2022,1,1,4,1.0,1
maxiinsfran,2022,1,1,7,1.0,1
SaulRM,2022,2,3,3,1.5,2
santiago v,2022,1,1,4,1.0,1
Luisa,2022,2,4,4,2.0,2
Eliezer,2022,1,0,2,0.0,0
Livia Greco,2022,1,1,2,1.0,1
Agustin Peiretti,2022,1,1,0,1.0,1
Franco Benassi,2022,1,1,0,1.0,1
Carito zec,2022,1,0,3,0.0,0
Daniel Suarez,2022,1,0,1,0.0,0
ALV,2023,2,4,0,2.0,3
Jprhox,2023,1,2,3,2.0,2
erick bustamante alarcón,2023,1,0,1,0.0,0
Batvizz,2023,3,0,15,0.0,0
Oscar Navarrete,2023,5,2,4,0.4,2
Rayner,2023,1,0,3,0.0,0
Dario Hernán Tarnowski,2023,1,1,0,1.0,1
Fernando Perez,2023,1,0,0,0.0,0
marcelo vidal,2023,1,0,2,0.0,0
Nataly Estupiñan,2023,1,0,3,0.0,0
Carlos  Espinosa,2023,1,1,1,1.0,1
dsx,2023,3,0,1,0.0,0
Nicolas Casanova,2023,1,0,1,0.0,0
Jorge Cárdenas,2023,1,0,1,0.0,0
SteelKidneys,2023,1,0,2,0.0,0
Juan Casas,2023,1,1,2,1.0,1
Roland Rios,2023,3,3,0,1.0,1
Natalia Sanabria,2023,1,0,1,0.0,0
Reynaldo Peralta,2023,1,0,4,0.0,0
Gianni Napolitano,2023,1,1,4,1.0,1
Israel Rufino,2023,1,0,0,0.0,0
william,2023,1,1,1,1.0,1
jalonsoc,2023,2,0,2,0.0,0
Alexis Ortiz,2023,1,0,2,0.0,0
Silvestre,2023,1,0,0,0.0,0
Emiliano Ortz Hernndez,2023,1,0,0,0.0,0
Joaquin Agraso,2023,1,1,7,1.0,1
kakito,2023,1,0,0,0.0,0
JAGR,2023,1,0,3,0.0,0
José Ricaurte,2017,1,1,4,1.0,1
Guillermo Armando Alvarez,2017,3,3,17,1.0,1
Diego Zepeda,2018,2,2,6,1.0,1
Diego Cardona,2018,4,7,6,1.75,2
Andres Guzman,2018,1,1,0,1.0,1
george_coder,2019,1,0,0,0.0,0
Erick V,2019,2,1,4,0.5,1
Franklin Taylhardat,2019,2,2,2,1.0,1
lorena,2019,1,1,0,1.0,1
David Ercoli,2020,1,1,2,1.0,1
julitree,2020,2,3,4,1.5,2
Álvaro García,2020,3,5,12,1.67,4
fernando gonzlez gonzalez,2020,2,2,6,1.0,1
Alexis Vera Lenis,2020,4,4,6,1.0,1
Jose Flores,2020,3,4,3,1.33,2
Limitless,2020,1,1,0,1.0,1
HoraB,2020,1,1,1,1.0,1
RIcardo RIvera HeredIa,2020,1,1,2,1.0,1
Daniel Lozano Clavijo,2021,1,2,1,2.0,2
Tupi,2021,10,8,22,0.8,2
Antonio Manuel,2021,2,2,3,1.0,1
yensei,2021,1,0,2,0.0,0
juanRey,2021,1,1,2,1.0,1
Cesar Molina,2021,1,2,4,2.0,2
Ariees Andromeda,2022,4,7,3,1.75,3
Lucas Tomic,2022,21,20,32,0.95,1
Ignacio,2022,3,2,2,0.67,1
tineztin,2022,1,1,4,1.0,1
eduardo lorenzo,2022,1,0,2,0.0,0
Juan Pablo Martinez,2022,2,0,7,0.0,0
user17743486,2022,6,4,11,0.67,1
Eduardo Velazquez,2022,1,1,1,1.0,1
Juan carlos Rojas,2022,1,2,0,2.0,2
pedritoanonimo,2022,1,0,3,0.0,0
Inav42,2022,1,0,2,0.0,0
Marta,2022,1,1,1,1.0,1
Dark,2022,2,0,3,0.0,0
Romii O.,2023,2,0,8,0.0,0
Evelyn Lopez,2023,1,1,3,1.0,1
Out Kargo,2023,1,0,3,0.0,0
Rene,2023,3,1,8,0.33,1
zila117,2023,3,2,9,0.67,1
CHRISTIAN MORALES,2023,2,1,5,0.5,1
Marlon Martelo,2023,1,0,0,0.0,0
Marco Mignacco,2023,1,0,1,0.0,0
Juan David Ramirez,2023,1,0,0,0.0,0
Felipe Gustin Rivas,2023,1,0,0,0.0,0
stskmilo,2023,1,0,1,0.0,0
Arie Litovsky,2015,2,9,12,4.5,8
Gerardo Martínez,2015,5,17,16,3.4,6
Power_HR,2015,1,4,1,4.0,4
DanielZam,2015,1,3,0,3.0,3
Agustin Acosta,2015,1,1,1,1.0,1
Alejandro Maisonnat,2016,6,11,20,1.83,3
David Pulloquinga,2016,3,5,5,1.67,2
Fabián Heredia Montiel,2016,1,1,0,1.0,1
Troika,2016,1,5,8,5.0,5
user3590,2016,1,1,0,1.0,1
JParera,2016,1,4,3,4.0,4
Nahuel Jakobson,2016,12,19,36,1.58,3
Ing.LuisC,2016,2,3,2,1.5,2
Esteban Cantillano,2016,1,2,0,2.0,2
Rwa,2016,1,1,2,1.0,1
FermatsTheorem,2016,1,2,0,2.0,2
Fernando Diaz Toledano,2016,1,1,0,1.0,1
EdwinCab,2016,4,3,2,0.75,1
AjFmO,2016,2,8,3,4.0,5
Joacer,2016,18,26,33,1.44,4
Fabricio,2016,5,16,22,3.2,5
Darlyn,2016,1,1,1,1.0,1
Tomas Morales,2016,1,3,2,3.0,3
NightZpy,2016,1,0,11,0.0,0
develop12,2016,2,3,0,1.5,2
eliicoptero,2016,1,2,0,2.0,2
Juan Manuel Gentili,2016,2,2,5,1.0,1
Pavlo B.,2017,32,70,84,2.19,7
hubman,2017,66,125,128,1.89,7
Emaneitron,2017,1,12,0,12.0,12
Fabio,2017,1,1,2,1.0,1
jask,2017,2,6,4,3.0,4
Junhino PV,2017,1,2,0,2.0,2
Hector Scesa,2017,3,3,9,1.0,2
Ignacio Urpi nachourpi,2017,1,1,2,1.0,1
AlexH,2017,2,3,4,1.5,2
Rafa,2017,4,4,12,1.0,2
gonzalo perl,2017,1,1,0,1.0,1
user2048092,2017,1,0,3,0.0,0
joed,2017,1,2,2,2.0,2
Gabo Reyes,2017,2,3,8,1.5,2
Dennis Isaias Cervantes Nuñez,2017,3,5,2,1.67,2
Dealgrat,2017,1,1,1,1.0,1
Don Felipe,2017,1,2,0,2.0,2
Andy Romero,2017,1,3,2,3.0,3
Riicky,2017,1,0,4,0.0,0
Diana Hurtado,2017,2,5,6,2.5,4
Victor David Chavez Moralez,2017,1,0,2,0.0,0
Rodney Araúz,2017,1,1,3,1.0,1
Hipólito Huaylla,2017,1,1,6,1.0,1
Julio Mizrahi,2017,1,1,6,1.0,1
neryad,2017,2,3,6,1.5,2
Juan Carlos Silva Panta,2017,1,1,2,1.0,1
jc1992,2017,2,1,4,0.5,1
Oscar E. Alvarado,2017,1,0,2,0.0,0
kevvelas,2017,10,10,27,1.0,2
Reynaldo Granados,2017,1,2,12,2.0,2
El Tito,2017,1,0,2,0.0,0
dmgarcia33,2017,2,3,5,1.5,3
Kas,2017,1,2,4,2.0,2
Marco Gallardo Manríquez,2017,1,0,0,0.0,0
Daviel,2017,1,1,1,1.0,1
felipe,2018,5,9,15,1.8,3
SoCu,2018,24,29,121,1.21,3
DIEGO ALONSO,2018,1,3,2,3.0,3
Orlando Pasaca Rojas,2018,11,14,19,1.27,3
Maurikius,2018,3,4,0,1.33,2
Luis Alexander Santiago,2018,1,1,0,1.0,1
Charlie Brown,2018,2,3,7,1.5,2
Interes Ciencia,2018,1,2,5,2.0,2
Cristian Flórez,2018,5,5,7,1.0,2
AlienMind,2018,2,4,4,2.0,2
JGuerra,2018,8,9,16,1.13,2
HNL,2018,3,5,4,1.67,3
T.Baltazar,2018,1,0,2,0.0,0
DavidZam,2018,4,2,7,0.5,1
stewart,2018,1,1,3,1.0,1
Francisco Rabasco Díaz-Chirón,2018,2,2,13,1.0,1
Pedro Prada,2018,1,2,0,2.0,2
Diego Saravia,2018,3,4,10,1.33,2
Edwin Vasquez,2018,9,8,28,0.89,2
Mrs Prerobot,2018,4,4,5,1.0,2
user3215778,2018,1,1,1,1.0,1
lili,2018,1,1,2,1.0,1
Nelson Gutierrez,2018,1,2,1,2.0,2
Neo Anglada,2018,1,1,2,1.0,1
Pau Bacardit Agset,2018,3,5,14,1.67,3
toledano,2018,3,2,8,0.67,2
Felix David Hernandez Aldana,2018,2,2,1,1.0,1
costadark1212,2018,4,4,11,1.0,1
Jorge DeSpringfield,2018,6,9,4,1.5,2
Keith Caballero Rodriguez,2018,1,0,2,0.0,0
Fenix09,2018,1,4,2,4.0,4
CenturionSnake,2018,1,1,1,1.0,1
user102623,2018,3,1,8,0.33,1
Kristian Espitia,2018,5,5,14,1.0,2
Luis Uribe,2018,2,2,5,1.0,1
Alst Adm,2018,7,8,8,1.14,2
Chelo,2018,1,1,3,1.0,1
user103194,2018,1,1,2,1.0,1
flapon22,2018,1,1,4,1.0,1
Carlos Alberto Alcocer Juárez,2018,2,1,9,0.5,1
Á. Garzón,2019,3,1,4,0.33,1
Sama,2019,18,17,26,0.94,2
David Gómez,2019,2,5,5,2.5,4
D T,2019,2,2,0,1.0,1
jose angarita,2019,5,5,9,1.0,2
Kelvin Meneses,2019,4,3,11,0.75,1
Alexander Alvear,2019,3,1,4,0.33,1
Wilther Jhonny Marín Villarrag,2019,1,0,6,0.0,0
Kegan.rodhe,2019,2,1,12,0.5,1
FLOR HOMOSEXUAL,2019,1,1,1,1.0,1
Blas David O. M.,2019,3,3,12,1.0,1
Danisty,2019,1,2,0,2.0,2
Arale Gump,2019,1,0,4,0.0,0
Luciano J. Gómez,2019,1,0,7,0.0,0
XTeo,2019,1,1,2,1.0,1
Jorge Enrique Castillo Gonzale,2019,1,0,0,0.0,0
PedroMedario,2019,1,1,3,1.0,1
Cristian Sanchez Valverde,2019,1,1,1,1.0,1
Yonatan Asael Garcia Ortiz,2019,1,1,2,1.0,1
Allan Calderón,2019,3,4,5,1.33,2
Diego Minetti,2019,3,2,3,0.67,1
Manuel Rosendo Castro Iglesias,2019,3,6,9,2.0,3
claus vargas,2019,24,27,43,1.13,3
Activismo Eficaz,2019,1,1,2,1.0,1
Charly,2019,3,4,2,1.33,3
carlos rodriguez,2019,1,1,2,1.0,1
Oggy,2019,1,1,2,1.0,1
PaulVeliz,2019,1,0,5,0.0,0
user7649760,2019,1,3,0,3.0,3
Padron Rocha,2019,12,15,22,1.25,3
Franny,2019,1,2,2,2.0,2
yaha,2019,2,1,4,0.5,1
ronaldrenteria,2019,1,1,1,1.0,1
Oscar Vargas Tudela,2019,1,1,1,1.0,1
felix lozada,2019,6,9,11,1.5,3
Adrian Cardozo,2019,1,1,0,1.0,1
Germán,2019,1,1,0,1.0,1
josephmenaf,2019,4,4,3,1.0,2
Brayan,2019,2,2,0,1.0,1
Gaby,2019,1,0,7,0.0,0
Aaron Jaimes,2019,1,1,0,1.0,1
darioxlz,2019,2,2,3,1.0,1
Jose13000,2019,1,0,2,0.0,0
Vladimir Joel,2019,1,0,0,0.0,0
Maria Saavedra,2019,1,1,1,1.0,1
user2976755,2019,1,1,0,1.0,1
Ian,2019,1,0,2,0.0,0
Leblanc,2019,2,2,5,1.0,1
Jorge Huerta Casanova,2019,1,1,7,1.0,1
joselm,2020,2,1,6,0.5,1
Jabel,2020,1,2,5,2.0,2
Daniel García Silva,2020,2,0,12,0.0,0
carrasco90,2020,2,2,6,1.0,1
Juan Camilo,2020,1,1,5,1.0,1
Alejandro Vazquez Kano,2020,1,1,3,1.0,1
Alvarez,2020,6,11,15,1.83,3
jprimee,2020,1,1,0,1.0,1
Tygreton,2020,1,0,6,0.0,0
Alonso,2020,5,8,7,1.6,3
RMP,2020,5,3,17,0.6,1
Jonathan css,2020,1,2,1,2.0,2
Lucas Ginard,2020,2,2,2,1.0,1
evalbors,2020,1,1,0,1.0,1
jose marquez,2020,2,3,3,1.5,2
armel.guido,2020,9,9,21,1.0,2
mhamon,2020,2,3,7,1.5,2
Timo,2020,1,1,0,1.0,1
Braian vargas,2020,3,2,3,0.67,1
Octavio,2020,1,1,0,1.0,1
Kate 505,2020,4,5,12,1.25,2
Jhon Freddy Gómez Franco,2020,1,0,2,0.0,0
Kiril Morozov,2020,1,1,1,1.0,1
beth,2020,1,1,1,1.0,1
Ignacio Joaquin Davila Lavado,2020,1,0,3,0.0,0
Jhames Mejía,2020,1,0,5,0.0,0
I. Antonio Salazar Alcantara,2020,1,1,0,1.0,1
LuarC,2020,1,3,9,3.0,3
Fredy Montaña,2020,1,1,0,1.0,1
ranfepv,2020,1,1,8,1.0,1
Fabrizio Sánchez,2020,1,0,3,0.0,0
Prindark,2020,2,3,4,1.5,2
NachoMontesG,2020,2,2,8,1.0,1
ccamilavictoria,2020,3,6,2,2.0,3
